id,rainfall_mm,temperature_celsius,elevation_m,ph,soil_texture,area_ha,slope,latitude,longitude,coastal,riparian,is_predicted
1892,1608,23,629,7.5,loam,4.66,9.913691430967988,-8.635798794,125.41482184531284,False,False,False
1893,1608,23,639,5.6,sandy clay,1.35,14.50514456911754,-8.632192264,125.41547411519582,False,False,False
1894,1608,23,661,5.6,sandy clay,1.41,15.726490718609211,-8.630958306,125.4191243019388,False,False,False
1895,1608,23,648,5.6,sandy clay,4.31,17.021007809562885,-8.646071797,125.4150421467954,False,False,False
1896,1608,22,626,6.796255060728746,loam,0.85,5.000368526112631,-8.648388114,125.40975765226096,False,False,False
1897,1608,23,672,5.6,sandy clay,38.48,10.459367655770748,-8.638699327,125.41867738639024,False,False,False
1898,1608,22,627,6.796255060728746,loam,1.48,4.891972965538091,-8.647635026,125.40994784700143,False,False,False
1899,1608,22,628,7.5,loam,0.41,6.683557678091183,-8.646861118,125.41150404241355,False,False,False
1900,1608,22,619,7.5,loam,1.18,3.1952759833573765,-8.649395982,125.4122713978001,False,False,False
1901,1608,22,747,5.6,sandy clay,7.0,16.82597432657256,-8.629596976,125.41077669240386,False,False,False
745,2094,23,642,6.796255060728746,sandy clay,1.22,14.233800123777977,-8.492753772,126.77187179765932,False,False,False
1903,1608,23,624,5.6,sandy clay,0.8,10.03607501,-8.648773126,125.41439241840824,False,False,False
1904,1608,23,631,5.6,sandy clay,0.31,12.61929885,-8.647074011,125.41431952761263,False,False,False
1905,1608,22,713,5.6,sandy clay,11.63,16.30946410212238,-8.630304885,125.4091914,False,False,False
1906,2094,23,609,7.5,loam,0.8,4.050545573048047,-8.654722712,125.41183763482074,False,False,False
1910,1608,23,450,5.8,sandy loam,0.27,19.761016540990425,-8.622052695,125.39925437001256,False,False,False
1911,1608,23,576,5.8,sandy loam,0.24,18.86386031724212,-8.624287047,125.39715862410964,False,False,False
1913,1608,22,688,5.8,sandy loam,0.42,22.16032551635044,-8.628448578,125.39621809529744,False,False,False
1915,1608,22,665,5.6,sandy clay,2.45,12.166842417923585,-8.63404086,125.40989646498612,False,False,False
1917,1608,23,666,5.6,sandy clay,1.4,18.233387445516183,-8.63590034,125.41668224475328,False,False,False
1918,1608,23,663,5.6,sandy clay,1.3,16.317682007041192,-8.635349808,125.4173539,False,False,False
1919,1608,23,667,5.6,sandy clay,1.53,16.942286185691103,-8.632997517,125.4158240269269,False,False,False
1920,1608,23,630,7.5,loam,0.76,5.209758961596739,-8.633578524,125.41429109180766,False,False,False
1921,1608,23,628,7.5,loam,1.02,3.911959490804152,-8.634053818,125.4141725655548,False,False,False
1922,1608,22,616,7.5,loam,1.15,3.761278132055453,-8.650243079,125.41273300605506,False,False,False
1923,1608,22,637,5.6,sandy clay,7.75,9.293895729172473,-8.638888116,125.41381023425146,False,False,False
1924,1608,22,655,7.5,loam,1.14,17.10310795499816,-8.638953348,125.4090592553199,False,False,False
1925,2157,22,927,5.6,sandy clay,0.13,21.30434741365472,-8.657767853,125.19520746681198,False,False,False
1926,2040,22,774,5.8,sandy loam,0.67,22.852735596443203,-8.658591897,125.19953462227411,False,False,False
1927,2040,22,705,5.7,sandy clay,0.7,25.143727865433867,-8.655190144,125.2000047,False,False,False
1928,2040,22,694,5.6,sandy clay,1.18,17.854043505010065,-8.65915942,125.2136097456926,False,False,False
1930,2040,22,796,5.8,sandy loam,0.32,20.61892621018349,-8.655369508,125.21574931566788,False,False,False
1931,2040,22,759,5.6,sandy clay,0.86,19.14079973517193,-8.657613235,125.2117090948169,False,False,False
1933,2040,22,770,5.6,sandy clay,0.48,12.577007026607744,-8.65610107,125.21485312657435,False,False,False
1934,2040,22,752,5.7,sandy clay,1.26,24.71809424190169,-8.655449432,125.21665425789914,False,False,False
1935,2040,22,741,5.6,sandy clay,0.94,19.733284269784928,-8.65925853,125.21245944203868,False,False,False
1936,2040,22,679,5.7,sandy clay,0.56,17.070171607434013,-8.659538842,125.2142196198001,False,False,False
1937,2040,22,686,5.7,sandy clay,1.44,20.10140468462958,-8.658926326,125.21647124756733,False,False,False
1938,2040,22,806,5.6,sandy clay,0.88,29.863580597896515,-8.656259046,125.20821278517607,False,False,False
1939,2040,22,733,5.7,sandy clay,0.84,31.14440763042583,-8.654049071,125.2099616048357,False,False,False
1940,1690,23,695,5.7,sandy clay,0.18,24.456906718894285,-8.651424756,125.2115067,False,False,False
1941,1690,23,813,5.7,sandy clay,0.44,22.60989650993934,-8.651316084,125.21457208899328,False,False,False
1942,2040,22,698,5.7,sandy clay,0.13,21.10816996351248,-8.658446101,125.21608601743031,False,False,False
1943,2040,22,714,5.7,sandy clay,0.27,15.126580833800986,-8.657735648,125.2146388355456,False,False,False
1944,2040,22,710,5.6,sandy clay,0.17,12.620129651505628,-8.657435915,125.21333762809002,False,False,False
1945,2040,22,782,5.6,sandy clay,0.84,21.561055312181928,-8.655696847,125.2123665373317,False,False,False
1946,2040,22,732,5.6,sandy clay,0.22,21.92101500182026,-8.6618941,125.20867817960983,False,False,False
1947,2157,22,877,5.8,sandy loam,0.32,15.20784204510319,-8.656813514,125.1968224,False,False,False
1948,2157,22,920,5.6,sandy clay,0.7,17.45974171990745,-8.659355147,125.19533586423296,False,False,False
1949,2157,22,1000,5.6,sandy clay,0.07,12.934427306823096,-8.661726721,125.19283162392357,False,False,False
